Text,Sentiment,Emotion,text_length,word_count
"তোমার আব্বারো আব্বা ঢাকা বন্ধ কর,,,,তাইলে সব সম্যসার সমধান হয়য়া যায়আগে অনেক প্রিয় মডেল ছিলি নাটকের জন্য,,,আর এখন হবি মাগীর জন্য।।।",Negative,Creepy,130,21
এই পতিতা নিজের ঘরে নিজে আগুন লাগাইছে পরিকল্পিতভাবে মুসলমানদের বদনাম করার জন্যএর বড় কোন উদ্দেশ্য আছে একে রিমান্ডে দিয়ে পাছায় গরম ডিম দিলে সব বেরিয়ে আসবে কোন বদমাইশ রা ওর পিছনে আছে,Negative,Creepy,182,32
তুর মতো বিয়াদব কুত্তা রাস্তায় এবেলএবোল জম্নায়  । যাই হোক ফেসবুকে দেখানোর জন্য ক্ষমা ছেয়ে লাভ নাই ইবাদাতের মধ্যেমে আল্লাহর কাছে ক্ষমা চাইতে জানলে হয়তো বা আল্লাহ মাফ করতে পারেন। সো ভুল হওয়া স্বাভাবিক কিন্ত এটার জন্য আল্লাহ কাছে এমন ভাবে চাইবেন যেন আল্লাহ মাফ করেন,Negative,Creepy,261,46
আল্লাহ আপনাকে  সুস্থ রাখুক। ভাইরাস থেকে দেশের  মানুষ কে মহান রাব্বুল আলামিন যেন হেফাজত করে।দোয়া করবেন।আপনিও সেভ থাকবেন।,Positive,Unbiased,119,18
"আল্লাহ আপনার উপর রহমত বর্ষণ করুন, আমিন।",Positive,Unbiased,39,7
আল্লাহ আপনাকে হেদায়েত দান করুক।আমিন।তওবা করেন আল্লাহ কাছে মন থেকে।মানুষ মাএই ভুল করে।সীকার করেন আপনি মন থেকে আপনি ভুল করেছেন।আল্লাহ খুশি জনগণের মানুষ খুশি☺,Positive,Unbiased,155,24
ইসলামে কিছু কিছু ক্ষেত্র বা পরিস্থিতি আছে যখন প্রকাশ্যে দান সদাকা করা উত্তম।একজন ধনী মানুষের প্রকাশ্যে দান সদাকা দেখে অন্যান্য ধনী মানুষও এগিয়ে আসবে।,Positive,Unbiased,150,24
"ধন্যবাদ ছাত্রলীগ ,  কিন্তু এখন কৃষকলীগ কোথায়",Positive,Unbiased,44,7
জরিপ অনুযায়ী যেন ফলাফল হয়। তাপস ও আতিকুল এর সফলতা কামনা করছি।,Positive,Unbiased,61,12
ধন্যবাদ মাশরাফি,Positive,Unbiased,15,2
মার্কেটিং বাহ্,Neutral,Unbiased,14,2
"ঠিক, খুব মনে পড়ে  ",Neutral,Unbiased,19,4
পাবলিক যেটা কমেন্টে বলার কথা ছিলোসেটা পোস্টদাতা নিজেই ক্যাপশনে লিখে দিছেআমজনতা আমাগো তেমন কিছু বলার নাইnice,Neutral,Unbiased,107,16
আল্লাহ হেদায়েত দাও,Neutral,Unbiased,18,3
আসসালামুয়ালাইকুম মুশফিকুর রহিম। আপনাকে আমি খুবই পছন্দ করি। কোরআন তেলাওয়াত এইভাবে সোনা ঠিক না। অন্য কোন কাজের মাধ্যমে কোরআন শরীফ তেলাওয়াত শোনা নিষেধ এতে কোরআনের সাথে বেয়াদবি হয়। আশাকরি দয়া করে আপনারা ভিডিওটা  রিমুভ করে দেবেন।,Neutral,Unbiased,230,36
"আমরা আনন্দ মিছিল দিয়েছিলাম, যা ছিল এরকম ""যাবো গো যাবো গো বিশ্বকাপে যাবো গো""",Neutral,Unbiased,76,14
অরে নিয়ে যা করা হবে সব কিছুই অর পক্ষে যাচ্ছে কারন ও এখন আমেরিকার কাছে বলবে আমাকে নাগরিকত্ব দেও নয়তো দেশে গেলে বিপদ,Neutral,Unbiased,114,23
"ব্রাদার আগে শ্রমিকের বেতন পরিশোধ করেন, আপনাকে দেশের জন্য ভালোবাসি এবং বাসবো,, গত ২৪ ঘন্টায় আক্রান্ত ৪৩৪ জন,  মৃত্যু ৯ জন।",Neutral,Unbiased,121,21
সময় মত পিপিই না দিয়ে চিকিৎসা করানোর ফল। মরার পর যত আফসোস ,Neutral,Unbiased,57,12
"ব্রাদার,,আপনি কি বাংলাদেশে একটি আন্তর্জাতিক মানের হাসপাতাল বানানোর উদ্যোগ নিতে পারেন না??",Neutral,Unbiased,89,12
ওলামালীগের কোন কর্মকান্ড চোখে পড়ে নাই।,Neutral,Unbiased,38,6
"আল্লাহ আপনার হেদায়েত দিক।ভূল করছেন আল্লাহার কাছে কেদে তওবা করেন,আল্লাহ আপনাকে মাফ করুন।মানুষ অনেক কিছু বলবে কিন্তু পরকালে হিসাব তো আপনাকেই দিতে হবে।",Neutral,Unbiased,148,23
আশরাফুল নাই তাই দেখবোনা।।,Neutral,Unbiased,25,4
"বইনরে তুই বারজনের সাথে ইনজয় করার লাইগা ধর্মের বিরুদ্ধে যে কথা বলছোস তাতে তুইযে আসল জারজ এটা বোঝা গেছে কারন তুইতো তোর বাবা মার মিলন দেখোসনাই না দেখে তাদের বাবা, মা বলিস কিভাবে,",Neutral,Creepy,175,33
কমেন্টস রিডার এসোসিয়েশন থেকে কমেন্টস পড়তে এসে পড়েছি,Neutral,Unbiased,53,8
অফ যান এইবার ,Neutral,Unbiased,13,3
আমার দিক থেকে পরিবেশটা এখনও সুন্দর তবে যেকোন সময় হৈচৈ লেগে আউট হয়ে যেতে পারে,Neutral,Unbiased,76,15
আল্লাহ আপনাকে হেদায়েত দান করুক আমীন।আমিও একজন আল্লাহর বান্দা আমি আল্লাহর কাছে প্রার্থনা করি সে যেন আপনাকে খমা(Khoma) না করে-,Positive,Unbiased,124,20
"শুধু সুন্দর চেহারার হিরো আপনি নন, সুন্দর মনের  ও হিরো আপনি। ঈদ মোবারক।",Positive,Unbiased,70,13
মাগীর ভোদা অনেক তেজ মাগী রে হাতি দিয়ে চোদান দরকার কি বলেন,Negative,Creepy,57,12
"নেংটা নাকি?অফফফফ পেন্টিও পড়োনি,কিংবা ব্রা?উফফফ কি হট তুমি।",Negative,Creepy,58,8
পাছাশৌধ ♥,Negative,Creepy,9,2
"মাস্টারবেসন করার জন্য উপযুক্ত ছবি।রাস্তার মাগীদের যেমন টাকা দিয়ে চুদান যায়।আর এই সস্তা মালটাকে ফ্রি তে চুদান যায়।সস্তা বলে, এইটারে চুদলাম না।মাস্টারবেসনও করলাম না।",Negative,Creepy,163,24
এতো সেক্সি হইলে আমরা কি করমু???,Negative,Creepy,31,6
খানকিদের লিস্টে তুই সবার উপর থাকবি 🖕🖕🖕🖕🖕,Negative,Creepy,40,7
মাগির ভাড়া কত লাস্ট পর্যন্ত মাগি খাস তুই ,Negative,Creepy,42,8
"দুরু শালার পুত, নটির বাচ্ছা",Negative,Creepy,27,5
"নিশ্চয়তা না, শব্দ টা ছিল 'নিশ্চয়ই'। এটা কথার কথা বলা, 'সে নিশ্চয়ই তার উদ্দেশ্যে সফল হবে।' এখানে গেরান্টি দেওয়া হয় না। আশা প্রকাশ করা হয়। আপনি বাংলায় এতো দুর্বল কেন ব্রাদার? আল্লাহ্‌ তায়ালা নিশ্চয়ই আপনাকে বাংলায় দক্ষ করে দিবেন, আমীন....",Negative,Creepy,235,40
বারোভাতারী তোমাকে,Negative,Creepy,17,2
"দুইদিন পর পর এতো লিংক আসলে কিভাবে দেখবো ডার্লিং বলো, আমি তো শুকিয়ে যাচ্ছি, নিজের দিকে ও তো খেঁয়াল রাখতে হবে তাই না!!!",Negative,Creepy,118,23
তুমি যে বারোভাতারী,Negative,Creepy,18,3
বাড়া কবির তোর বাপে তোরে জন্মাইছে দেখছিলি চাইয়া কিউরিয়াস মাইন্ড ত জানতে চায়Safa Kabir,Negative,Creepy,84,14
ডিয়ার মাগি  এত রিপ দেখলাম ভাবছি তুই ভুত হইলি এখন দেখি হট দ্যা ফাক  Safa Kabir,Negative,Creepy,77,16
তুই  একটা নষ্ট মেমে মাগী,Negative,Creepy,24,5
তুই  একটা নষ্ট মাগী,Negative,Creepy,19,4
আহো ভাতিজি আহো এক্কানা বুকত লই,Negative,Creepy,30,6
তুমি বুঝাতে চাও তোমার অনেক গুলা......,Negative,Creepy,37,6
খোলা দেখার অপেক্ষায় রইলাম....,Negative,Creepy,30,4
চুদির আবাল,Negative,Creepy,10,2
যাহারা নাটক সিনেমায় অভিনয় করে তারা অনেক পর পুরুষের সঙ্গে অভিনয় করতে হয় । এতে হাতাহাতিও হয়।  আমার মনে হয় ওই জায়গাটা একদমই বেশ্যাখানা । আর একজন বেশ্যার কাছ থেকে এর চাইতে বেশি কিছু আশা করা যায় না ।,Negative,Creepy,202,39
এই নাস্তিক কে জুতা পেটা করা উচিত,Strongly Negative,Creepy,32,7
নষ্ট ছেলের জুতা পিসি,Strongly Negative,Creepy,20,4
"ওরে জুতা পিঠা করো সবাই, মাগি নাস্তিক",Strongly Negative,Creepy,36,7
"অবশেষে প্রিয়া সাহা বললেন তিনি ২০০১ সালের কথা বলেছেন,আচ্ছা এই বলদ মহিলা কি যানেনা এটা ২০১৯ সাল!",Negative,Bullying,94,17
দেখেন জার চেহারা দেখলে বুমি আসে সে কিবাবে নয়ক হয়,Negative,Bullying,48,10
তার মত এক জন ননর্তকীর বিশ্বা স অবিশ্বাসে কি অাসা যায়। যে তাকে এই প্রশ্ন টা করেছে সে কি অার লোক পেলনা,Negative,Bullying,101,22
এমডি শাহিন মজুমদার কিছু কর তাম না,Strongly Negative,Creepy,33,7
"এমডি শাহিন মজুমদার তারে এবার পাইলে, ৫মিনিটে বুঝাই দিতাম পর কাল কারে কয়।",Strongly Negative,Creepy,71,13
তোর মুখে জুতা মারি বেজন্মা!!!,Strongly Negative,Creepy,29,5
ওই হালার পুত এখন কি মদ খাওয়ার সময় রাতের বেলা মদ খাই দিনের বেলাও মাঝেমধ্যে খায় এখন ম*** চ**** সময় safa কে একটু চুদাম যার ইচ্ছা আছে চুদার লাইনে দারা একজন একজন করে জাবি,Negative,Creepy,169,34
আপনার জন্ম প্রক্রিয়ার সময় আপনার মায়ের ভিতর কি আপনার বাবা হুমায়ুন কবিরের শুক্রাণু ঢুকে ছিল না অন্য কারো । তাইলে আপনি কেম্নে শিউর হইলেন উনিই আপনার বাবা। কারণ ওই কাজের সময়ে তো আপনি দেখেননি।আপনাকে জারজ বা জাউরা বললে কি ভুল হবে? পাক্নামি ছাইড়া দিয়া অভিনয়টা ভাল করে করেন।আমাগো আমজনতারে এইসব শুনাইয়েন না।,Negative,Creepy,297,52
ধজভংগ দের আর ভায়াগ্রা লাগবো না। ধংস হোক এই সব কুলখানকিরা।,Negative,Creepy,57,11
বইনে ,Neutral,Unbiased,5,1
যাক নুডিটি নাই আলম ভাই এগিয়ে যাও আমরা আছি তোমার সাথে,Neutral,Unbiased,52,11
মাওলানা মোছা: সাফা কবির আপনি দিনের পথে আসায় আমরা অত্যন্ত সুখ প্রকাশ করছি।আমিন,Neutral,Unbiased,77,13
কমেন্ট পড়ার জন্য পেজে লাইক দিয়ে রাখলাম,Neutral,Unbiased,40,7
সুভ্রা,Neutral,Unbiased,6,1
বাংলাদেশের ২নাম্বার খেলোয়াড় চালিয়ে যাও ৬এর আশায় জাতি,Neutral,Creepy,52,8
আহ্ আজ যদি এই salman এর বউ হইতামতাইলে লাইভে এসে ওর যেলিঙ্গ নাই বা আছে confused কারিদের দেখাই দিতাম,Neutral,Creepy,98,19
ইফতারের বেগুনি,Neutral,Creepy,14,2
ফেসবুক হ্যাক করলে এর বিচার হয়প্রথম শুনলাম,Neutral,Creepy,41,7
আসলে তোদের মত বে জম্মার বাচ্চাদের কারনে মুখ দিয়ে অশালিন কথা বের করা লাগেসময় থাকতে তওবা করে নে।জন সম্মুখে ক্ষামা চেয়ে নে নইলে এদেশের মানুষ তোর মোত বেশ্যার কোন অস্তিত্ব রাখবেনা।,Neutral,Creepy,175,31
সীমিত আকারে আরেকটা বিয়ে করো।আমরা নতুন নাটক দেখার অপেক্ষায় আছি,Neutral,Creepy,61,10
"আসিতেছে! আসিতেছে! আসিতেছে! - তামাশা, এতে চুমু দিয়ে, হাল্কা পর্ণ দিয়ে দর্শক মাতানো হবে। যুগের গায়ক কারিগরদের গান শিখানো হবে!! এই নোবেল আর কতো পারো তুমি রে ভাই। ভাঁওতাবাজি ছাইড়া ভালো হও।",Neutral,Creepy,184,32
সিগারেটের ছাই,Neutral,Unbiased,13,2
ভাই ফোনটা কি  ভালো আপনি চালাইসেন?? ,Neutral,Unbiased,35,6
ভাই আপনর মুখ চেহারা এতো শুকাইছে ক্যান ?? ,Neutral,Unbiased,41,8
"কাও কেই আজও পাইলাম না,কোথায় আছেন? ",Neutral,Unbiased,34,6
"তুই আমার বালের বাঙ্গালি,সারাদিন জিন্স টপস পইরা নটীবাজি আর মাগীগিরি করস ওগুলো কোন আমলের বাঙ্গালির পোষাক?একদিনে বাঙ্গালি সাইজা ভং ধরিস না।bangali চুদাস আর কথা শুরু করসস hi everyone , দিয়া",Negative,Creepy,185,30
হে! মেয়ে শুন তোর জম্ম তুই কি দেখেছিস।তোর জম্ম তোর বাপের দ্বারা বা কুত্তার দ্বারা হয়েছে তুই জানিস।,Negative,Creepy,98,18
তুমি কি সব কিছু  দেখ।বলদ কোথা কার।না দেখে কি ভাবে কি ভাবে একজন পুরুষ কে বাপ ডাকো,Negative,Bullying,80,17
"একজন বলেছিল ছাগলকে দিয়ে হাল চাষ হয় না । কথা আসলে কি, এতদিন বুঝতে না পারলে ও , আজ ঠিক বুঝতে পেরেছি ।",Negative,Bullying,99,23
"এদের দিকে মনোনিবেশ করার কোনো প্রয়োজনীয়তা অনুভব করছিনা,এগুলো আসবে যাবে,এদের পূর্ব পুরুষও আসছে,পরেও অনেকে আসবে,ইসলামের ক্ষতি করার সাধ্য তাদের নাই,আমরা এদেরকে ফলো না করলেই হলো।",Negative,Unbiased,173,25
"ফেসবুক ধার্মিকরা গালাগাল দিয়ে ঈমানি দায়িত্ব পালন করেন! এভাবেই তারা বেহেস্তে যাবে! সাফা, আফা কারো ব্যক্তিগত বিশ্বাস অবিশ্বাস দিয়ে--- নিজের ইমান জাস্টিফাই করার সুযোগ নাই! অবশ্য ফেসবুক ধার্মিকদের এত কিছু বুঝার আগ্রহও নাই!",Negative,Unbiased,218,33
নাস্তিককে গালিগালাজ করলে অশেষ নেকী আর বেহেস্ত কনফার্ম।-জনৈক মোল্লা,Negative,Unbiased,66,9
নিরাপদ সড়ক আন্দোলন এর সময় ও আপনার চাটা দেখছিলাম।এখন আবার আসছেন চাটতে।এইসবই পারবেন। ডাক্টারদের মান সম্মত গিয়্যার দেওয়ার জন্য তো লাফাইলেন না।! আমেরিকা আছেন।অইখানেই থাকেন। এখানের ইস্যু নিয়ে কথা না বললেই খুশি হবো।,Negative,Bullying,209,33
নিচতলা ভাড়া দেওয়ার কাম শেষ তাইলে,Negative,Bullying,32,6
"আবাল আর পাগল ছাগল সেলেব্রিটি হয়লে যা হয় আর কি,রাস্তায় দেখা মাত্র জুতা নিক্ষেপ করে মেরে ফেলুন এই নাস্তিকটাকে",Strongly Negative,Creepy,107,19
তোর কপালে জুতা,Strongly Negative,Creepy,14,3
"অভিজিত বাবুও তোর মত বিদেশে থাকত।অথচ ভাগে্যর কি নির্মম পরিহাস,আল্লাহর ইচ্ছায় মৃত্যু তাকে বাংলাদেশে টেনে নিয়ে ত্রসেছে।আল্লাহ চাইলে সব কিছুই সম্ভব।",Strongly Negative,Creepy,144,21
করোনা নিয়ে আসছে এইবার ঢাকা কাপাবে,Negative,Bullying,33,6
ওরে বাটপার! ওরে বাটপার!! বানীঃ কুয়াকাটা হুজুর।,Negative,Bullying,46,7
ভুল ৩ টি ছাগল এর মাঝে ১ টি ছাগী,Negative,Bullying,31,9
সাফা নিজেই করোনা ভাইরাস,Negative,Bullying,23,4
জুতা মারা দরকার এই সব নাম দারি মুসলিম গুলাকে.....,Strongly Negative,Creepy,49,9
অপরাধীদের দৃষ্টান্তমূলক শাস্তি দাবি করছি।,Strongly Negative,Creepy,41,5
এই মিথ্যুককে গ্রেফতার করে ফাঁসির কার্যকর করা হোক।,Strongly Negative,Creepy,49,8
ফালতু ২টা,Strongly Negative,Bullying,9,2
চেহারাটা বিখ্যাত পর্ণস্টার মিঞা খলিফা সাথে মিল আছে। দুই দিনের বৈরাগী ভাতেরে কয় অন্ন।খবিস,Strongly Negative,Bullying,89,14
কুত্তার বাচ্চা তুই কি তোর জন্ম দেখেছিস্?,Strongly Negative,Bullying,40,7
লজ্জা থাকলে ফেসবুক ছেরে চলে জেতো,Neutral,Unbiased,32,6
আহারে ব্যাচারির ফেইসবুক প্রোফাইল জ্যাক করার জন্য আল্লাহর কাছে বিচার দিছে আর কিছু পাইলো না#নাস্তিকপ্রকাশ্যে তওবা না কেঠে ফেইসবুক প্রোফাইলের জন্য কান্না কাটি করে জাহান্নামের আগুন থেকে বাচতে পারবেন নাতওবা কাটুন এবং এসব নাটক বাটক ছাইরা দ্বীনের পথে আসুন।,Neutral,Unbiased,249,39
"আরে ভাই,  ধরলাম সাফা কবির নাস্তিক,  তু আপনার কি? আসলে ভাই একটা কথা হল আমরা বাঙালী আর আমরা এইসব নিয়ে একটু বেশিই নাচানাচি করি,,, নিজের ঈমান ঠিক করেন আগে তারপর এইসব বলতে আইসেন,,,,  আর মানুষ ক্ষমা চাইলে আল্লাহ তাকে ক্ষমা করে সেটা হয়ত ভুলে গেছেন আপনারা।",Neutral,Unbiased,248,46
"নন মুসলিম বলতে, বোঝাতে চাচ্ছি যে মুসলিম ছিলো পরে নাস্তিক হয়ে গেল",Neutral,Unbiased,64,12
"নিজের হীন সার্থ উদ্ধার করতে এখন সুন্দর করে প্রধানমন্ত্রী কে আইডল বানিয়ে দিলেন, এর মানে কি??",Neutral,Unbiased,91,16
সোফা,Neutral,Unbiased,4,1
বলেন আল্লাহ্ র জমিন। মানুষের নয়,Neutral,Unbiased,31,6
চিকিৎসক-নার্স-কর্মীদের সুরক্ষা উপকরণ সরবরাহের নির্দেশ দিচ্ছে হাইকোর্ট।দোকান-মার্কেট বন্ধের ঘোষনা দিচ্ছে দোকান মালিক সমিতি।চিকিৎসক-নার্স-কর্মীদের সুরক্ষা উপকরণ দিচ্ছে বুয়েট।টেস্টিং কিট দিচ্ছে চীনের ‘আলীবাবা’।তাহলে সরকার করছেটা কি?,Neutral,Unbiased,229,24
"গার্মেন্টস বাঁচলে দেশ বাঁচবে, কে বলেছে মানুষ বাঁচলে দেশ বাঁচবে??  আগে গার্মেন্টস  বেঁচে থাকুক ",Neutral,Unbiased,94,14
"ফেইসবুক আইডির জন্য আল্লাহ হাতে বিচার দিলেন???এইটা কেমন কথা,,",Neutral,Creepy,60,9
"ডলাডলি করার জন্য শেষ পর্যন্ত বরি ঠাকুর,,",Neutral,Creepy,40,7
সবাই প্রতিবাদ করুন নিচের লিংকে গিয়ে..... https://www.facebook.com/abc4utah/videos/2301600330105127/?fref=mentions,Neutral,Creepy,113,7
"ভাই আপনার ফার্মের শ্রমিকদের বেতন নিয়ে যে সংবাদ বের হলো তা কি সত্যি,আমরা আপনাকে আইকন মানি,প্লিজ তা একটু ক্লিয়ার করে দিবেন।",Neutral,Unbiased,121,21
তুমি এখনো মুসলিম হতে পারোনি তোমার আরো অনেক কিছু শিখার বাকি আছে কোনো মুসলিম ভুল করেও কখনো পরকাল নিয়ে এ ধরনের কথা বলবে না বুক্টা কেপে উঠবে বলার আগে আল্লাহ্‌ র কাছে মাফ চাও,Neutral,Creepy,169,34
"দেশের সকলের উচিত, যার যে রকম সমর্থ মত প্রতিদিন 'যারা দিন আনে দিন খায়' তাদের একজন লোককে খাওয়ান।কারন তাদের দৈনিক আয় থাকবে না।বিদেশে যারা থাকেন তারা কিছু টাকা পাঠিয়ে তাদের আত্নীয় স্বজনের মাধ্যমেও এটা করতে পারেন।আল্লাহ আমাদের করোনা বিপদ থেকে রক্ষা করুন।",Neutral,Unbiased,249,42
তাতে কারো কিছু যায় আসেনা।,Neutral,Unbiased,25,5
আপনার বাচ্চারা কেমন আছে।,Neutral,Unbiased,24,4
করোনা না তো দেখা যায় না ..তো এটা কিভাবে বিশ্বাস করলো ..ভয়ে ..,Neutral,Unbiased,61,13
সুন্দরী আপু এতদিন কোথায় ছিলে,Neutral,Unbiased,29,5
প্রথম প্রেসিডেন্ট জিয়াউর রহমান?  কি দিন আইলো বিএনপি বাংলাদেশের বাহিরের মানুষ হয়ে যাচ্ছে দেখি,Neutral,Unbiased,92,14
বাবা মা ভালো হলে সন্তান ও ভালো হবে,Neutral,Unbiased,34,8
তুমি দুবাই ঘরোয়া কোন আমন্তনে আসব।,Neutral,Unbiased,33,6
"অনন্ত জলিল মানবিক 'নায়ক', ওনার সাথে কাউকে তুলনা করা বোকামি।",Neutral,Unbiased,59,10
মামা ফেছবুকের সবকিছু সত্তিনা ফেক ও আছে,Neutral,Creepy,38,7
লাগা বেলকি লাগা,Neutral,Creepy,15,3
জাযাকাললাহ হুজুর,Neutral,Unbiased,16,2
কত কিছু দেখে বিশ্বাস করেছো তুমি? তুমি যাকে বাবা বলে মানছো তুমি কি সিওর সে ই তোমার বাবা? শোন সব দেখে বিশ্বাস করা যায়না। কিছু জিনিস অদৃশ্যেই বিশ্বাস করতে হয়। এটাই নিয়ম। আশা করছি তুমি তোমার ভুল বুঝতে পারবে।,Negative,Unbiased,203,39
আওয়ামীলিগ হিন্দুদের কতো সুবিদা দিলো তার ফলাফল।,Negative,Unbiased,46,7
সহমত পোষন করছি। জুতা পিটা করা হোক বেইশ্যাটাকে,Strongly Negative,Creepy,45,8
জুতা পিটা কর সালাদের। না পারলে আমার কাছে দে,Strongly Negative,Creepy,43,9
জুতা পেটা করতে হবে।,Strongly Negative,Creepy,19,4
একটা হাগল,Strongly Negative,Bullying,9,2
ওরে বাটপার...হেতি শিখাইতে আমগোরে,Negative,Bullying,32,4
বাংলায় কথা বললে কি মেকাপ নস্ট হবে!!  ফালতু সব।,Strongly Negative,Bullying,46,9
"ঠেলার নাম বাবা জি,, এবার বুঝলি বিষয় টা,,,?",Negative,Bullying,43,8
নাস্তিক মাগীর একটা কমেন্ট দেখতে চাই,Negative,Unbiased,35,6
এই নাস্তিকের মে সাফা কবির এখন বুঝেন এর কাছ থেকে এর চেয়ে ভালো কিছু আশা করা যায় না।,Negative,Unbiased,83,18
মাসাললাহ,Strongly Positive,Unbiased,8,1
ওকে মনের মত চুদব যতখন ওর সামা দিয়া রক্ত বের না হয়,Strongly Negative,Creepy,49,12
"যখন সমস্যায় পড়েন তখন ঠিকি ""আল্লাহ"" কে স্বরণ করেন।আবার যখন ভাবে থাকেন তখন চোখে যা দেখেন না তা বিশ্বাস করেন না।বাতাস তো দেখেন না বিশ্বাস কইরেন না।এখন দেখতেছেন জনপ্রিয়তার কপালে ঝাটা আর জুতা জুটবে তখনই আল্লাহর কাছে মাফ চাওয়া।বাহ বাহ।তালি হবে।এভরিবডি মেইক সাম নয়েজ।",Strongly Negative,Creepy,260,44
